type,name,architecture,library
Text Section (Local),+[PBXGDB_MITypes specifierStringForFormat:],X86_64,
Text Section (Local),+[PBXGDB_MIUntilCommand commandForFile:lineNumber:],X86_64,
Text Section (Local),+[PBXGDB_MovePCSequence sequenceWithThreadID:fileSpec:],X86_64,
Text Section (Local),+[PBXGDB_NewBreakpointSequence createBreakpointLoationForBreakpoint:fromListItem:inDebugSession:],X86_64,
Text Section (Local),+[PBXGDB_NewWatchpointSequence sequenceWithExpression:],X86_64,
Text Section (Local),+[PBXGDB_OpResult resultWithObject:type:],X86_64,
Text Section (Local),+[PBXGDB_RegisterDataValueExpandSequence sequenceWithParentDV:sequenceController:],X86_64,
Text Section (Local),+[PBXGDB_RegisterDataValueSetupSequence sequenceToSetupCPUTypeWithSequenceController:],X86_64,
Text Section (Local),+[PBXGDB_RegisterDataValueSetupSequence sequenceWithParentDV:sequenceController:],X86_64,
Text Section (Local),+[PBXGDB_StringFetchResult alternateAttributedStringsCache],X86_64,
Text Section (Local),+[PBXGDB_StringFetchResult attributeDictionaryKeyInCache],X86_64,
Text Section (Local),+[PBXGDB_StringFetchResult attributeDictionaryWithAttributeKey:],X86_64,
Text Section (Local),+[PBXGDB_StringFetchResult attributedStringForString:inCache:],X86_64,
Text Section (Local),+[PBXGDB_StringFetchResult standardAttributedStringsCache],X86_64,
Text Section (Local),+[PBXGDB_SyntheticDataValue baseValueResultKey],X86_64,
Text Section (Local),+[PBXGDB_SyntheticDataValue contentSummaryResultKey],X86_64,
Text Section (Local),+[PBXGDB_SyntheticDataValue contentValueResultKey],X86_64,
Text Section (Local),+[PBXGDB_SyntheticDataValue variableExpressionStringKey],X86_64,
Text Section (Local),+[PBXGDB_SyntheticDataValue variableValueStringKey],X86_64,
Text Section (Local),+[PBXGDB_TemporaryBreakpointSequence sequenceWithSymbol:],X86_64,
Text Section (Local),+[PBXGDB_TurnBreakpointsOnOffSequence sequenceShouldTurnOn:],X86_64,
Text Section (Local),+[PBXGDB_UntilSequence sequenceWithFile:lineNumber:],X86_64,
Text Section (Local),+[PBXGDB_VarObjDataValue2 initialize],X86_64,
Text Section (Local),+[PBXGDB_VarObjDataValue2 isArrayType:name:type:],X86_64,
Text Section (Local),+[PBXGDB_VarObjDataValue2 isNSArrayType:],X86_64,
Text Section (Local),+[PBXGDB_VarObjDataValue2 isSTLVectorType:],X86_64,
Text Section (Local),+[PBXLSAdaptor name],X86_64,
Text Section (Local),+[PBXLSAddressRange addressRangeWithString:size:],X86_64,
Text Section (Local),+[PBXLSAddressValue addressValueWithString:],X86_64,
Text Section (Local),+[PBXLSDebuggingSession _isExceptionBreakpoint:],X86_64,
Text Section (Local),+[PBXLSDebuggingSession _isFileBreakpoint:],X86_64,
Text Section (Local),+[PBXLSDebuggingSession _isSymbolicBreakpoint:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem _myBundle],X86_64,
BSS Section (Local),+[PBXLSDebuggingSystem _myBundle]._myBundle,X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForContinueToLocation:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForDataFetchTimeout],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForDebuggerStopped],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForDoneLoadingExecutable],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForFailedLoadingExecutable],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForFixAndContinueError:WithFile:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForFixAndContinuePatchedFile:patchFile:],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForFixAndContinueSheetTitle],X86_64,
Text Section (Local),+[PBXLSDebuggingSystem localizedStringForFixAndContinueStarted],X86_64,
